ip,model,serial,issue,days_left,end_date,
10.224.26.100,Antminer_S21_XP,ONETFMUBDJIAB00ZF,P1,67,10/17/2025,B34S7
10.224.26.103,Antminer_S21_XP,YNAHFMUBDJIJC03ZH,P1,62,10/12/2025,B34S7
10.224.26.122,Antminer_S21_XP,YNAHFMUBDJIJC048R,P1,62,10/12/2025,B34S7
10.224.26.124,Antminer_S21_XP,YNAHFMUBDJIJC04N4,P1,62,10/12/2025,B34S7
10.224.26.132,Antminer_S21_XP,YNAHFMUBDJIJC02WN,P1,62,10/12/2025,B34S7
10.224.26.145,Antminer_S21_XP,YNAHFMUBDJIJC0424,P1,62,10/12/2025,B34S7
10.224.26.170,Antminer_S21_XP,THQGFMUBDJHBC06Z7,P1,63,10/13/2025,B34S7
10.224.26.172,Antminer_S21_XP,THQGFMUBDJHBC05MD,P1,63,10/13/2025,B34S7
10.224.26.214,Antminer_S21_XP,THQGFMUBDJHBC0643,P1,63,10/13/2025,B34S7
10.224.26.215,Antminer_S21_XP,PIEMFMUBDJHBH02Y8,P1,54,10/4/2025,B34S7
10.224.26.216,Antminer_S21_XP,PIEMFMUBDJHBH0373,P1,48,9/28/2025,B34S7
10.224.26.219,Antminer_S21_XP,YNAHFMUBDJIJC04VR,P1,62,10/12/2025,B34S7
10.224.26.225,Antminer_S21_XP,THQGFMUBDJHBC05Z0,P1,63,10/13/2025,B34S7
10.224.26.235,Antminer_S21_XP,YNAHFMUBDJIJC01WX,P1,49,9/29/2025,B34S7
10.224.26.248,Antminer_S21_XP,YNAHFMUBDJIJC01D4,P1,49,9/29/2025,B34S7
10.224.26.42,Antminer_S21_XP,YNAHFMUBDJIJC04N7,P1,62,10/12/2025,B34S7
10.224.26.55,Antminer_S21_XP,THQGFMUBDJHBC06S5,P1,63,10/13/2025,B34S7
10.224.26.70,Antminer_S21_XP,ONETFMUBDJIAB01DH,P1,63,10/13/2025,B34S7
10.224.26.71,Antminer_S21_XP,THQGFMUBDJHBC05M9,P1,63,10/13/2025,B34S7
10.224.26.75,Antminer_S21_XP,THQGFMUBDJHBC06RS,P1,63,10/13/2025,B34S7
10.224.26.81,Antminer_S21_XP,ONETFMUBDJIAB00Z1,P1,67,10/17/2025,B34S7
10.224.26.86,Antminer_S21_XP,ONETFMUBDJIAB0164,P1,67,10/17/2025,B34S7
10.224.26.88,Antminer_S21_XP,THQGFMUBDJHBC06S2,P1,63,10/13/2025,B34S7
10.224.26.90,Antminer_S21_XP,YNAHFMUBDJIJC03VT,P1,62,10/12/2025,B34S7
10.224.27.1,Antminer_S21_XP,PIEMFMUBDJHBH02M2,P1,54,10/4/2025,B34S7
10.224.27.105,Antminer_S21_XP,ONETFMUBDJIAB024T,P1,62,10/12/2025,B34S7
10.224.27.122,Antminer_S21_XP,THQGFMUBDJHBC060K,P1,63,10/13/2025,B34S7
10.224.27.129,Antminer_S21_XP,THQGFMUBDJHBC05T1,P1,63,10/13/2025,B34S7
10.224.27.148,Antminer_S21_XP,THQGFMUBDJHBC069K,P1,63,10/13/2025,B34S7
10.224.27.156,Antminer_S21_XP,THQGFMUBDJHJA01DA,P1,27,9/7/2025,B34S7
10.224.27.16,Antminer_S21_XP,ONETFMUBDJIAB001J,P1,61,10/11/2025,B34S7
